Model,MAE,RMSE,MAPE,R2,TrainTime_s
Holt-Winters,1.2070262753998877,1.5808364949303353,5.218703328026241,0.9415299588302817,25.273817777633667
ARIMA,1.2020249355135864,1.5599937395756844,5.189052827868345,0.9430616072482928,4.066890001296997
XGBoost,1.3422322641489208,1.6489933454038137,5.792057125988346,0.9363794676365893,3.702484607696533
LSTM,2.5752240872975554,3.1396194568351197,12.162824638822055,0.7693712121253268,8.398761987686157
Transformer,2.9902880471164814,3.634937957497163,13.312406320616033,0.6908612134165046,23.399372816085815
