Model,MAE,RMSE,MAPE,R2,TrainTime_s
Holt-Winters,1.2070262753998877,1.5808364949303353,5.218703328026241,0.9415299588302817,25.350615978240967
ARIMA,1.2020249355135864,1.5599937395756844,5.189052827868345,0.9430616072482928,4.152430772781372
XGBoost,1.3422322641489208,1.6489933454038137,5.792057125988346,0.9363794676365893,3.7982373237609863
LSTM,2.5752243287166405,3.1396197697186303,12.16282603849638,0.7693711661580054,8.454890251159668
Transformer,2.9903018637164243,3.6349632236495952,13.312508215931478,0.6908569158054082,23.543730974197388
